Position,Genre,Age,Nationality,Needs to be relocated,Years of experience,Number of previous companies,Desired salary,Interested in freelance positions,Interested in permanent positions,Human resource score,Tech score,Exam score,Average score,Offer,Hired
CTO,Female,45,Portuguese,False,20,9,70000,True,False,0,1,1,0.67,,
Product owner,Female,37,Irish,False,12,1,40000,True,False,1,2,2,1.67,38784,True
Software architect,Male,35,British,False,10,7,55000,True,True,4,2,4,3.33,47619,False
Sysops,Female,30,Indian,False,7,5,273000,False,True,1,4,1,2.0,237008,True
Software developer,Male,35,Italian,False,9,2,29000,False,False,4,4,0,2.67,28150,True
Software architect,Female,32,Italian,False,10,1,55000,True,False,2,0,2,1.33,54403,False
Software developer,Male,32,British,False,9,8,29000,False,True,2,0,0,0.67,,
Product owner,Male,40,Spanish,False,12,2,40000,False,False,3,1,3,2.33,38410,True
Software architect,Female,32,Italian,True,10,6,55000,True,False,2,4,3,3.0,51305,False
Devops,Male,34,Portuguese,False,12,7,48000,False,False,0,4,3,2.33,42260,True
CTO,Female,43,French,False,20,15,70000,False,False,3,0,1,1.33,57893,False
CTO,Female,42,Turkish,False,20,8,70000,False,True,2,2,4,2.67,69414,True
Devops,Male,41,French,False,12,7,48000,False,True,2,1,2,1.67,38860,True
CTO,Female,49,Italian,False,20,6,70000,True,False,0,2,2,1.33,66075,False
Devops,Male,40,Turkish,False,12,7,48000,False,True,0,2,2,1.33,46498,False
Scrum master,Female,41,Brazilian,False,19,7,47000,True,False,2,3,2,2.33,40954,True
Software architect,Female,38,Irish,False,10,1,55000,False,True,2,1,2,1.67,54848,True
Devops,Female,38,British,False,12,5,48000,False,True,4,2,4,3.33,42707,True
Sysops,Male,31,Brazilian,False,7,3,273000,False,True,0,2,1,1.0,270310,False
CTO,Male,46,Indian,True,20,19,70000,False,True,3,4,4,3.67,58524,False
Product owner,Female,39,Brazilian,False,12,1,40000,False,False,1,2,4,2.33,35316,True
Sysops,Male,31,Indian,False,7,3,273000,False,False,1,0,1,0.67,,
Software developer,Female,31,Brazilian,True,9,4,29000,False,True,3,1,0,1.33,27471,False
Software architect,Female,34,Turkish,False,10,2,55000,False,True,2,4,0,2.0,46459,True
Product owner,Male,40,Spanish,False,12,10,40000,False,False,1,2,1,1.33,39498,False
Software architect,Male,33,French,True,10,4,55000,True,True,0,2,0,0.67,,
Software developer,Female,33,French,False,9,8,29000,False,True,4,0,4,2.67,23883,True
Devops,Male,36,Indian,False,12,9,48000,True,True,1,0,0,0.33,,
Software architect,Male,33,Spanish,False,10,1,55000,False,True,2,2,0,1.33,45197,True
Software architect,Female,32,Italian,False,10,5,55000,True,False,4,4,4,4.0,50963,False
Software engineer,Male,29,French,False,3,2,38000,False,False,4,2,0,2.0,31203,False
Software architect,Male,38,Indian,False,10,7,55000,True,False,0,2,2,1.33,50364,True
Scrum master,Male,44,Spanish,False,19,9,47000,False,True,0,4,2,2.0,45025,True
Product owner,Female,41,Turkish,True,12,1,40000,False,True,0,3,3,2.0,33801,False
Software architect,Female,39,Irish,False,10,8,55000,True,False,1,1,3,1.67,52353,True
Software architect,Male,35,Italian,False,10,8,55000,False,False,0,0,2,0.67,,
Product owner,Male,35,Turkish,False,12,10,40000,False,False,3,1,4,2.67,37898,False
Software architect,Female,33,British,False,10,7,55000,False,False,2,2,4,2.67,53754,True
Software engineer,Female,31,French,True,3,2,38000,False,False,0,1,3,1.33,30820,True
Software architect,Male,35,Italian,True,10,5,55000,False,False,0,4,2,2.0,52035,True
Software engineer,Male,25,Irish,False,3,2,38000,False,False,3,1,1,1.67,32173,False
Sysops,Male,31,Portuguese,False,7,4,273000,False,True,3,1,0,1.33,250235,True
Devops,Female,40,French,False,12,11,48000,False,True,1,0,1,0.67,,
Software engineer,Female,27,Spanish,False,3,2,38000,False,False,3,4,1,2.67,31095,False
Software architect,Female,35,Portuguese,True,10,1,55000,False,True,4,2,0,2.0,50830,False
Sysops,Female,32,Spanish,False,7,2,273000,False,True,0,2,2,1.33,266627,True
CTO,Male,42,Portuguese,False,20,8,70000,True,True,2,0,0,0.67,,
Sysops,Male,31,Irish,False,7,1,273000,False,True,0,3,1,1.33,221773,True
Software engineer,Male,32,French,False,3,2,38000,False,False,2,3,4,3.0,31913,True
Product owner,Male,39,Brazilian,False,12,4,40000,False,True,2,2,3,2.33,35882,True
Software engineer,Male,31,Brazilian,False,3,2,38000,False,False,1,0,2,1.0,35321,True
Software engineer,Male,26,Spanish,False,3,2,38000,False,True,0,0,3,1.0,34690,False
Scrum master,Female,48,Indian,False,19,9,47000,False,False,2,3,2,2.33,38473,False
Software architect,Male,38,Indian,True,10,4,55000,True,True,4,1,1,2.0,44269,True
Software architect,Male,32,British,True,10,9,55000,False,True,1,3,0,1.33,52190,False
Scrum master,Male,42,Turkish,False,19,7,47000,False,False,3,0,2,1.67,42288,True
Sysops,Male,31,Irish,False,7,5,273000,False,True,4,1,1,2.0,248190,True
Devops,Female,41,Irish,True,12,11,48000,True,False,1,2,1,1.33,42656,True
Product owner,Female,38,Turkish,False,12,5,40000,True,True,4,1,1,2.0,34113,False
Scrum master,Female,43,Turkish,False,19,11,47000,False,False,2,1,4,2.33,41328,False
Scrum master,Male,45,Italian,False,19,9,47000,False,True,3,3,4,3.33,46056,False
Product owner,Male,38,French,True,12,8,40000,True,True,0,0,0,0.0,,
CTO,Male,47,British,True,20,7,70000,True,True,1,1,0,0.67,,
CTO,Female,44,French,False,20,1,70000,False,False,2,3,2,2.33,64158,False
Scrum master,Male,48,Spanish,False,19,16,47000,False,False,3,1,4,2.67,41530,True
Software architect,Male,34,Indian,False,10,7,55000,False,True,1,4,1,2.0,49706,False
Scrum master,Male,43,Spanish,False,19,14,47000,False,True,3,0,4,2.33,38178,False
Scrum master,Male,41,Italian,False,19,12,47000,False,False,1,4,4,3.0,38027,False
Devops,Male,41,British,False,12,5,48000,False,False,4,1,1,2.0,42861,False
CTO,Male,49,Turkish,False,20,15,70000,False,True,3,0,0,1.0,57007,False
Software engineer,Female,31,Brazilian,False,3,2,38000,False,False,3,1,4,2.67,34414,False
Software engineer,Female,28,Turkish,False,3,1,38000,False,True,3,1,3,2.33,35777,False
Devops,Male,41,Spanish,False,12,6,48000,False,False,4,4,1,3.0,47144,True
Software architect,Female,39,Irish,True,10,4,55000,False,False,2,2,2,2.0,53657,True
Software developer,Female,32,Italian,False,9,1,29000,True,True,4,3,2,3.0,24884,True
Sysops,Male,33,Turkish,False,7,5,273000,False,False,2,4,2,2.67,222298,True
Scrum master,Male,47,Irish,True,19,12,47000,False,False,2,1,1,1.33,44963,True
Sysops,Male,34,British,False,7,6,273000,False,True,0,4,3,2.33,263425,True
Software architect,Female,39,Brazilian,False,10,7,55000,False,True,4,1,2,2.33,45278,False
Devops,Male,40,Portuguese,True,12,4,48000,False,True,0,1,2,1.0,43724,False
Product owner,Female,41,Turkish,False,12,6,40000,False,False,1,2,3,2.0,38286,False
Software engineer,Female,26,British,False,3,2,38000,False,True,0,1,1,0.67,,
CTO,Male,44,Turkish,True,20,1,70000,False,False,0,0,1,0.33,,
Software developer,Male,37,Irish,True,9,4,29000,False,False,0,3,1,1.33,23660,False
Devops,Male,35,British,False,12,9,48000,False,True,1,0,4,1.67,44375,False
Sysops,Male,35,Irish,False,7,6,273000,False,True,0,0,2,0.67,,
Scrum master,Male,43,Turkish,False,19,4,47000,False,True,3,3,4,3.33,38836,False
Software architect,Female,37,Spanish,True,10,9,55000,False,True,1,1,2,1.33,46889,False
CTO,Female,46,Italian,False,20,15,70000,True,True,1,1,1,1.0,63749,False
Software architect,Female,33,Brazilian,False,10,2,55000,True,True,2,4,0,2.0,51844,False
Scrum master,Male,42,Portuguese,False,19,4,47000,False,True,2,3,0,1.67,45504,True
Sysops,Male,29,French,True,7,4,273000,False,False,4,3,1,2.67,251014,True
Sysops,Female,29,Portuguese,False,7,3,273000,True,False,3,0,1,1.33,258275,True
Software developer,Female,33,Turkish,True,9,8,29000,False,True,2,0,3,1.67,23759,True
Software engineer,Female,25,Portuguese,False,3,1,38000,False,True,2,2,2,2.0,34256,False
Software developer,Male,38,British,False,9,8,29000,True,True,0,3,4,2.33,26842,False
Software developer,Female,36,Spanish,False,9,4,29000,False,False,4,1,4,3.0,23901,True
Software architect,Male,37,Irish,False,10,8,55000,False,True,2,3,1,2.0,45961,True
Scrum master,Female,45,Irish,False,19,10,47000,False,True,3,4,4,3.67,42279,True
Sysops,Female,30,Portuguese,False,7,5,273000,False,False,1,0,1,0.67,,
Software architect,Male,34,Irish,False,10,6,55000,False,False,3,4,0,2.33,46421,False
CTO,Male,45,Indian,True,20,14,70000,True,False,1,1,1,1.0,67843,False
Scrum master,Female,47,Indian,True,19,2,47000,False,False,0,3,0,1.0,39782,True
Software architect,Female,39,Spanish,False,10,9,55000,False,True,2,0,1,1.0,52577,True
Software engineer,Female,25,British,False,3,1,38000,False,True,3,0,2,1.67,31376,True
Product owner,Female,39,Italian,False,12,4,40000,False,True,3,3,1,2.33,35398,False
Scrum master,Female,45,British,False,19,16,47000,False,True,4,2,3,3.0,46199,False
Software developer,Male,31,Italian,False,9,4,29000,True,False,1,2,4,2.33,26970,False
Product owner,Male,41,Italian,True,12,3,40000,False,True,4,3,1,2.67,39275,False
Software engineer,Male,27,Spanish,False,3,1,38000,False,True,3,1,0,1.33,35326,False
Sysops,Male,33,Turkish,False,7,4,273000,False,False,4,0,1,1.67,258912,False
Software developer,Female,37,Portuguese,True,9,5,29000,False,False,4,2,0,2.0,26343,True
Scrum master,Female,43,British,False,19,11,47000,False,True,1,4,1,2.0,46962,False
CTO,Male,43,Spanish,False,20,5,70000,False,False,3,1,2,2.0,65004,False
Software developer,Male,38,British,True,9,1,29000,False,False,4,2,0,2.0,23321,True
Sysops,Female,31,Turkish,False,7,1,273000,False,True,3,2,1,2.0,224088,False
Sysops,Female,36,Italian,False,7,2,273000,False,False,4,2,2,2.67,258145,True
Software engineer,Male,26,Turkish,False,3,1,38000,False,True,1,0,4,1.67,34864,True
Product owner,Female,35,Turkish,False,12,4,40000,False,True,2,2,3,2.33,37179,False
Software engineer,Male,26,British,True,3,2,38000,True,True,4,2,4,3.33,33263,True
Software architect,Female,36,British,False,10,7,55000,False,False,4,2,2,2.67,45776,False
CTO,Female,45,Indian,True,20,16,70000,False,True,2,0,1,1.0,57166,True
Software developer,Male,32,Spanish,True,9,4,29000,False,False,1,3,2,2.0,24496,False
Software architect,Female,39,Portuguese,False,10,8,55000,False,False,4,1,4,3.0,47051,True
Software developer,Male,33,Turkish,True,9,8,29000,False,True,4,3,4,3.67,26526,True
Product owner,Male,35,Indian,True,12,9,40000,False,True,0,3,0,1.0,34468,True
Devops,Female,35,Spanish,True,12,7,48000,False,True,1,4,4,3.0,42040,True
Software engineer,Female,29,Italian,False,3,2,38000,True,True,3,4,4,3.67,34792,True
Sysops,Male,31,Irish,False,7,6,273000,False,True,2,4,4,3.33,265258,True
Scrum master,Male,48,Indian,False,19,2,47000,False,True,3,3,2,2.67,44382,False
Software architect,Male,32,Irish,False,10,1,55000,False,True,2,3,2,2.33,45038,False
CTO,Male,46,Portuguese,False,20,18,70000,False,False,2,3,1,2.0,67216,False
Sysops,Male,33,Portuguese,False,7,6,273000,False,True,4,3,3,3.33,234353,False
Scrum master,Male,47,Indian,False,19,10,47000,True,True,0,2,2,1.33,43699,False
Software engineer,Female,30,Indian,True,3,1,38000,False,False,3,3,0,2.0,37958,False
Software architect,Female,38,British,False,10,6,55000,True,True,0,4,3,2.33,51815,True
Software developer,Male,32,Portuguese,False,9,3,29000,False,False,4,2,0,2.0,23364,True
CTO,Male,48,French,False,20,3,70000,True,False,1,3,1,1.67,63221,False
Product owner,Male,39,Brazilian,True,12,10,40000,False,False,4,4,0,2.67,33866,False
Software architect,Male,35,Indian,False,10,7,55000,False,False,0,1,1,0.67,,
Software developer,Male,38,Brazilian,True,9,2,29000,False,True,2,1,3,2.0,28153,False
Software engineer,Male,26,Portuguese,False,3,2,38000,False,True,2,0,3,1.67,30787,True
Software architect,Female,33,French,False,10,7,55000,False,True,3,4,2,3.0,47402,True
Product owner,Female,36,Portuguese,False,12,9,40000,True,False,1,3,1,1.67,34558,True
Software architect,Male,38,Portuguese,False,10,4,55000,False,True,2,4,3,3.0,44258,False
CTO,Female,48,Italian,False,20,19,70000,False,True,1,1,0,0.67,,
Product owner,Male,37,Irish,True,12,11,40000,False,True,2,1,0,1.0,38246,False
Software developer,Female,34,Brazilian,True,9,4,29000,False,False,1,2,0,1.0,25309,True
Devops,Male,36,British,False,12,7,48000,False,False,2,0,2,1.33,47776,False
Software architect,Female,38,Indian,False,10,4,55000,False,True,0,2,1,1.0,48369,False
Software architect,Male,38,Indian,False,10,9,55000,True,False,3,4,2,3.0,45001,False
CTO,Female,46,Turkish,False,20,15,70000,True,True,4,3,3,3.33,69548,False
Software developer,Female,36,Spanish,False,9,4,29000,False,True,4,4,4,4.0,26457,True
Software architect,Male,37,French,False,10,2,55000,True,True,0,1,1,0.67,,
Software architect,Male,39,Spanish,False,10,6,55000,False,False,3,3,1,2.33,45794,False
Software architect,Male,35,Spanish,False,10,2,55000,False,False,2,4,3,3.0,48342,True
Software architect,Female,32,Portuguese,False,10,6,55000,False,True,2,3,1,2.0,51272,False
Software developer,Male,32,British,True,9,2,29000,False,True,3,3,1,2.33,23933,True
Software engineer,Female,25,Spanish,False,3,1,38000,False,True,1,2,2,1.67,33748,False
CTO,Male,46,Italian,False,20,2,70000,False,False,4,3,1,2.67,63685,True
Devops,Female,40,British,False,12,2,48000,False,False,4,1,1,2.0,43435,True
CTO,Female,45,Brazilian,False,20,18,70000,False,False,4,4,1,3.0,68363,True
Software architect,Female,34,French,False,10,8,55000,False,True,4,4,3,3.67,50149,True
Product owner,Female,35,Brazilian,False,12,9,40000,True,True,4,0,0,1.33,37862,False
Sysops,Male,32,French,False,7,3,273000,True,True,1,1,2,1.33,254339,True
Software architect,Male,33,Indian,False,10,9,55000,True,False,0,3,2,1.67,53245,True
CTO,Male,46,Indian,False,20,5,70000,True,False,2,3,4,3.0,62852,False
Software architect,Female,39,Brazilian,False,10,1,55000,False,False,1,4,3,2.67,53644,True
Software engineer,Male,28,Irish,True,3,2,38000,False,True,1,4,0,1.67,37201,True
Software engineer,Female,31,French,True,3,1,38000,False,True,0,2,0,0.67,,
Software developer,Female,34,Spanish,False,9,1,29000,False,False,2,3,0,1.67,28372,True
Scrum master,Male,44,Italian,True,19,9,47000,False,True,1,2,1,1.33,45172,False
CTO,Female,47,Portuguese,False,20,19,70000,False,False,2,1,4,2.33,58405,True
Software architect,Female,33,Italian,True,10,1,55000,True,False,4,1,4,3.0,46632,True
Devops,Female,41,Indian,False,12,5,48000,True,True,2,2,1,1.67,45985,False
CTO,Male,44,Italian,False,20,19,70000,False,False,1,2,2,1.67,66312,False
Software engineer,Male,25,Portuguese,False,3,1,38000,False,True,0,4,4,2.67,30654,True
Software developer,Female,31,Indian,False,9,7,29000,False,True,4,4,2,3.33,28232,True
Sysops,Female,29,Portuguese,False,7,5,273000,True,True,3,3,2,2.67,261785,False
Sysops,Female,30,Portuguese,True,7,1,273000,False,False,0,2,0,0.67,,
Scrum master,Female,48,French,False,19,16,47000,False,True,0,2,0,0.67,,
Software architect,Male,39,French,True,10,8,55000,False,True,4,3,3,3.33,46656,True
Software engineer,Female,27,Indian,True,3,2,38000,False,True,3,4,0,2.33,34661,False
Software architect,Male,35,Brazilian,True,10,8,55000,False,True,2,1,2,1.67,54723,False
CTO,Male,48,Brazilian,False,20,18,70000,False,False,2,1,0,1.0,65104,True
Product owner,Male,41,Indian,False,12,5,40000,False,True,4,4,2,3.33,38246,True
Software architect,Female,37,Portuguese,True,10,5,55000,False,True,0,1,0,0.33,,
Product owner,Male,37,British,True,12,2,40000,True,True,4,4,2,3.33,33245,False
CTO,Male,48,Brazilian,False,20,16,70000,False,True,2,0,0,0.67,,
Scrum master,Female,42,British,True,19,5,47000,False,False,3,4,3,3.33,42977,True
Software engineer,Female,30,Portuguese,False,3,1,38000,True,False,1,3,0,1.33,37150,True
Software developer,Male,31,Italian,False,9,4,29000,False,True,0,3,1,1.33,23356,True
Sysops,Female,34,Indian,False,7,5,273000,False,False,1,2,4,2.33,249373,True
Sysops,Male,29,Irish,True,7,5,273000,False,True,4,4,3,3.67,271343,False
Devops,Female,38,Italian,False,12,7,48000,False,False,2,1,1,1.33,43625,False
Software architect,Male,36,Turkish,False,10,3,55000,False,False,3,3,3,3.0,47089,False
Sysops,Male,34,Irish,False,7,1,273000,False,False,3,3,0,2.0,228514,True
Software developer,Male,37,Portuguese,False,9,6,29000,False,True,0,3,1,1.33,27010,True
Software architect,Female,38,Italian,True,10,7,55000,True,False,0,0,2,0.67,,
Devops,Male,41,Indian,False,12,6,48000,False,False,4,1,0,1.67,43736,True
Sysops,Female,30,Brazilian,True,7,4,273000,False,False,1,1,1,1.0,220348,False
Sysops,Male,36,British,False,7,1,273000,True,True,0,3,2,1.67,239782,True
Devops,Male,36,Brazilian,False,12,2,48000,True,True,4,2,2,2.67,47809,True
Software architect,Female,35,British,False,10,1,55000,False,False,2,1,2,1.67,52367,True
Devops,Male,41,Brazilian,False,12,5,48000,True,False,4,3,0,2.33,42634,False
Scrum master,Female,46,Brazilian,False,19,6,47000,False,True,1,1,4,2.0,42631,False
Sysops,Female,33,Spanish,True,7,2,273000,False,False,0,1,4,1.67,230853,True
CTO,Male,48,Italian,False,20,9,70000,False,True,4,1,2,2.33,63504,False
Software developer,Female,32,British,False,9,3,29000,False,False,0,2,2,1.33,23720,False
Product owner,Female,38,Italian,False,12,1,40000,False,False,2,2,2,2.0,32057,True
Software architect,Male,37,Brazilian,False,10,3,55000,True,True,3,2,1,2.0,44815,False
Sysops,Female,33,Indian,False,7,6,273000,False,True,0,4,1,1.67,244211,True
Devops,Female,35,Spanish,False,12,6,48000,True,False,4,2,2,2.67,38990,True
Product owner,Female,41,Turkish,False,12,4,40000,False,True,4,3,1,2.67,38357,True
Scrum master,Male,48,Indian,True,19,18,47000,False,False,3,0,2,1.67,42746,True
Software architect,Male,36,Turkish,True,10,8,55000,False,False,1,3,1,1.67,51366,False
Sysops,Female,33,Spanish,False,7,6,273000,False,True,0,1,1,0.67,,
CTO,Female,47,Italian,False,20,1,70000,False,True,3,4,4,3.67,65314,False
Sysops,Male,35,Spanish,False,7,1,273000,False,True,0,4,2,2.0,237157,False
Software architect,Female,34,French,False,10,9,55000,False,True,2,4,3,3.0,54176,True
Software engineer,Male,27,Turkish,True,3,2,38000,False,False,0,4,3,2.33,36479,False
Software engineer,Male,29,Indian,False,3,2,38000,True,True,4,1,2,2.33,37777,False
Software architect,Female,39,Spanish,False,10,5,55000,False,False,2,2,4,2.67,44259,False
Software architect,Male,37,French,False,10,9,55000,False,True,1,4,3,2.67,50737,True
Software developer,Male,33,Indian,False,9,6,29000,False,True,2,3,3,2.67,28363,True
Software architect,Male,39,Irish,False,10,7,55000,True,False,3,2,2,2.33,53374,True
Software architect,Male,35,Spanish,False,10,4,55000,False,True,4,0,2,2.0,46315,False
Sysops,Male,30,Irish,False,7,3,273000,True,True,1,0,0,0.33,,
Software architect,Female,34,Brazilian,False,10,6,55000,True,True,3,1,0,1.33,54780,False
CTO,Male,47,British,False,20,13,70000,False,False,2,0,3,1.67,60576,False
Software engineer,Male,28,British,False,3,2,38000,False,True,0,3,3,2.0,33827,False
Software architect,Female,39,Portuguese,True,10,5,55000,True,True,4,2,4,3.33,45953,False
Software architect,Male,32,Spanish,False,10,9,55000,False,False,4,2,1,2.33,53274,False
Scrum master,Female,41,French,True,19,12,47000,False,False,3,4,3,3.33,43532,False
Devops,Male,37,Portuguese,False,12,4,48000,False,True,4,0,4,2.67,40434,True
Product owner,Female,36,Portuguese,True,12,7,40000,True,True,3,1,0,1.33,35289,True
Product owner,Male,38,Italian,False,12,2,40000,True,False,1,4,0,1.67,35484,False
Scrum master,Male,44,Irish,True,19,5,47000,True,False,4,3,3,3.33,45186,True
Software developer,Female,38,Spanish,True,9,8,29000,False,True,4,4,0,2.67,23685,False
Product owner,Male,38,Brazilian,False,12,4,40000,False,True,0,3,0,1.0,32789,True
Software architect,Male,33,Irish,True,10,6,55000,False,False,2,1,1,1.33,45795,False
Software developer,Female,32,Turkish,False,9,7,29000,False,False,1,4,3,2.67,28422,False
Software architect,Male,32,Irish,False,10,1,55000,True,True,3,1,2,2.0,50471,False
Software architect,Female,36,Indian,True,10,3,55000,True,True,4,2,0,2.0,52554,True
Product owner,Female,34,Turkish,False,12,3,40000,False,True,1,3,1,1.67,38203,True
CTO,Female,42,Spanish,True,20,2,70000,True,True,0,3,1,1.33,61726,True
Devops,Male,36,Italian,False,12,3,48000,False,False,3,0,0,1.0,46491,False
CTO,Male,44,Portuguese,False,20,12,70000,False,False,1,3,2,2.0,61176,False
Scrum master,Female,45,British,False,19,15,47000,False,False,2,3,4,3.0,37960,True
Product owner,Male,40,Italian,False,12,1,40000,False,False,2,2,1,1.67,37414,True
Product owner,Male,41,Brazilian,False,12,9,40000,False,False,3,1,2,2.0,32914,False
CTO,Male,45,Indian,False,20,1,70000,False,False,2,2,4,2.67,61882,True
Sysops,Female,36,Turkish,False,7,6,273000,False,False,4,4,0,2.67,239722,False
Software architect,Female,36,Irish,True,10,2,55000,False,False,3,3,4,3.33,53603,True
Software engineer,Male,26,Irish,True,3,1,38000,True,True,1,0,2,1.0,36546,True
Software developer,Male,36,Spanish,False,9,8,29000,True,True,0,3,2,1.67,28349,True
Scrum master,Male,43,British,False,19,10,47000,False,True,3,1,0,1.33,46560,True
Software architect,Male,32,Portuguese,False,10,2,55000,False,True,2,4,3,3.0,50226,True
CTO,Female,43,Brazilian,False,20,18,70000,False,True,2,3,4,3.0,58045,False
Product owner,Female,41,Indian,False,12,1,40000,False,True,0,0,2,0.67,,
Scrum master,Female,44,Turkish,False,19,13,47000,True,False,3,3,3,3.0,42189,True
CTO,Male,49,French,False,20,14,70000,True,False,1,4,0,1.67,67002,False
Scrum master,Female,47,Spanish,False,19,11,47000,False,False,3,4,3,3.33,37681,False
Sysops,Male,35,Italian,True,7,6,273000,True,False,4,1,2,2.33,250241,True
Product owner,Female,36,Brazilian,True,12,4,40000,False,True,1,4,0,1.67,33528,False
Product owner,Male,38,Italian,False,12,5,40000,True,True,3,4,4,3.67,33886,False
Software architect,Male,37,Irish,False,10,5,55000,False,False,2,0,4,2.0,54755,True
Software developer,Female,34,French,True,9,2,29000,False,False,3,1,0,1.33,23824,False
Scrum master,Male,43,Italian,True,19,3,47000,False,True,3,1,1,1.67,40820,False
Scrum master,Male,45,Turkish,False,19,18,47000,False,False,2,3,3,2.67,45366,True
Software architect,Female,34,French,True,10,5,55000,False,True,0,2,0,0.67,,
Sysops,Male,32,Turkish,True,7,6,273000,True,True,2,4,0,2.0,268573,False
Sysops,Female,32,Indian,False,7,5,273000,False,True,0,3,0,1.0,250364,True
Software developer,Female,36,Spanish,False,9,2,29000,False,False,0,2,3,1.67,23339,True
Software architect,Female,39,British,True,10,9,55000,False,True,0,3,1,1.33,48251,True
Product owner,Male,38,Portuguese,True,12,3,40000,True,False,3,1,4,2.67,32746,True
Software architect,Female,33,Turkish,False,10,8,55000,False,False,2,0,4,2.0,47306,False
Software engineer,Male,27,British,True,3,1,38000,False,True,4,4,1,3.0,30823,False
CTO,Female,49,Spanish,False,20,3,70000,False,False,4,1,2,2.33,57787,False
Scrum master,Female,45,Turkish,False,19,16,47000,False,True,3,2,3,2.67,42248,False
Scrum master,Female,45,British,False,19,14,47000,False,True,4,2,4,3.33,44056,False
Software developer,Male,33,Spanish,False,9,4,29000,False,True,4,2,3,3.0,23254,True
Software architect,Male,39,Turkish,True,10,2,55000,False,False,3,0,1,1.33,52927,False
Software developer,Female,34,Turkish,True,9,2,29000,False,True,1,1,1,1.0,28017,False
CTO,Male,48,Portuguese,True,20,19,70000,True,True,1,0,1,0.67,,
Product owner,Female,39,Indian,False,12,9,40000,False,True,3,3,0,2.0,32414,True
Software engineer,Male,32,Portuguese,True,3,1,38000,False,False,3,4,1,2.67,31252,False
Devops,Female,38,Indian,False,12,6,48000,False,False,3,0,0,1.0,47371,True
Scrum master,Male,45,French,True,19,9,47000,False,False,3,3,0,2.0,43073,True
Software engineer,Male,32,Portuguese,True,3,1,38000,False,True,4,4,2,3.33,32688,False
Devops,Male,39,Brazilian,False,12,2,48000,False,True,1,1,0,0.67,,
Devops,Female,35,Spanish,False,12,2,48000,False,True,3,1,0,1.33,39568,True
Software developer,Male,33,French,False,9,5,29000,False,True,0,3,0,1.0,23332,True
CTO,Female,48,Indian,True,20,2,70000,False,True,4,1,4,3.0,62431,False
Software engineer,Male,28,French,True,3,2,38000,False,False,1,3,4,2.67,33031,True
Sysops,Female,36,Turkish,False,7,3,273000,False,True,3,2,1,2.0,226088,True
Software architect,Female,34,Portuguese,False,10,9,55000,False,True,3,2,4,3.0,44759,True
Software architect,Female,34,Irish,False,10,4,55000,False,False,2,2,1,1.67,47777,True
Devops,Male,35,British,False,12,11,48000,True,False,3,4,2,3.0,44270,False
Product owner,Male,37,Italian,True,12,6,40000,True,False,3,4,1,2.67,32648,True
Software architect,Male,39,Indian,False,10,9,55000,False,False,3,3,1,2.33,52527,True
Software developer,Male,34,Indian,False,9,8,29000,False,True,0,4,2,2.0,25490,True
Product owner,Female,41,Irish,True,12,6,40000,True,True,0,4,3,2.33,36316,True
Software architect,Male,36,French,True,10,8,55000,False,False,2,3,1,2.0,44853,True
Devops,Male,39,Portuguese,False,12,11,48000,False,False,0,0,3,1.0,46122,True
Sysops,Female,30,Portuguese,False,7,6,273000,False,True,4,4,2,3.33,223193,False
Software engineer,Female,27,Irish,False,3,1,38000,False,True,3,3,1,2.33,36149,True
Software architect,Female,35,Brazilian,False,10,9,55000,False,False,0,0,2,0.67,,
Software architect,Male,36,Portuguese,False,10,1,55000,False,True,0,1,2,1.0,50128,False
Sysops,Female,31,Spanish,False,7,6,273000,False,True,4,1,3,2.67,228041,False
CTO,Female,46,Turkish,False,20,8,70000,True,False,2,1,0,1.0,65219,False
Sysops,Female,31,Italian,False,7,4,273000,False,True,3,1,2,2.0,221682,False
Software engineer,Male,26,Brazilian,False,3,1,38000,False,True,4,2,1,2.33,35152,False
Scrum master,Female,41,Turkish,False,19,10,47000,False,False,2,3,1,2.0,41857,False
Software architect,Male,32,Turkish,False,10,8,55000,False,True,2,2,2,2.0,53516,True
Scrum master,Male,41,Portuguese,False,19,11,47000,False,True,4,4,1,3.0,39234,False
Sysops,Male,34,Italian,False,7,2,273000,False,False,4,0,0,1.33,233109,False
Software engineer,Female,32,British,False,3,1,38000,False,False,4,2,4,3.33,36336,False
Software architect,Female,34,Spanish,False,10,5,55000,False,True,3,0,4,2.33,51280,True
CTO,Male,44,Turkish,False,20,16,70000,False,True,3,1,2,2.0,66767,True
Product owner,Female,36,Irish,False,12,9,40000,False,True,2,1,3,2.0,33347,False
Software engineer,Female,26,British,False,3,1,38000,False,False,1,0,4,1.67,37515,False
Software architect,Female,32,Indian,False,10,1,55000,False,True,4,4,4,4.0,52833,True
Software architect,Female,38,French,False,10,2,55000,False,True,0,4,0,1.33,52782,True
Devops,Male,41,Turkish,False,12,2,48000,True,True,4,2,4,3.33,45306,True
Software architect,Female,35,Portuguese,False,10,2,55000,False,False,2,4,3,3.0,44084,False
Software architect,Male,34,Spanish,False,10,8,55000,True,True,1,1,2,1.33,54154,True
Software architect,Male,34,Spanish,False,10,9,55000,True,False,0,1,4,1.67,52718,False
Software architect,Female,33,British,False,10,2,55000,False,False,0,0,4,1.33,49578,False
Software developer,Male,36,Portuguese,False,9,8,29000,False,False,1,1,4,2.0,25324,True
